,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,Total AandE Attends,label_with_sum,label_with_sum_categorical
133,7625.0,6685.0,940.0,5000.0,8592,7413.15,10711.0,1,grp_1
134,4310.0,3805.0,505.0,2985.0,5462,4760.65,9018.0,2,grp_2
135,7560.0,6730.0,830.0,4530.0,9495,8335.61,7272.0,1,grp_1
136,5180.0,4345.0,835.0,4810.0,7004,6184.12,14418.0,1,grp_1
137,8325.0,7275.0,1050.0,7320.0,12834,11113.22,13384.0,0,grp_0
138,4785.0,4435.0,350.0,2775.0,6274,5414.43,7191.0,2,grp_2
139,2595.0,2320.0,275.0,1775.0,4004,3509.05,5619.0,2,grp_2
140,4470.0,4085.0,385.0,3520.0,10126,8804.71,13625.0,1,grp_1
141,3150.0,2890.0,260.0,3025.0,7058,6040.28,7654.0,2,grp_2
142,7445.0,6515.0,930.0,5970.0,12118,10593.35,14831.0,0,grp_0
143,7500.0,6560.0,940.0,6310.0,9327,8190.21,11498.0,1,grp_1
144,5865.0,5045.0,820.0,4575.0,9988,8800.93,10969.0,1,grp_1
145,2260.0,2060.0,200.0,1485.0,2795,2462.47,5040.0,2,grp_2
