Org_Code,Effective_Snapshot_Date,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE
RXF,28/2/2023,5960,545,"6,505",4835,9402,8100.60597
RKB,28/2/2023,7085,805,"7,890",5485,9468,8456.45241
RVJ,28/2/2023,6730,830,"7,560",4530,9495,8335.61185
RJ7,28/2/2023,4100,890,"4,990",3830,9644,9134.16875
RCB,28/2/2023,6440,610,"7,050",6425,9775,8336.56731
RXR,28/2/2023,5830,815,"6,645",4385,9885,8796.89106
RXN,28/2/2023,5115,1005,"6,120",4425,9906,8737.06005
RK9,28/2/2023,5045,820,"5,865",4575,9988,8800.93269
RTR,28/2/2023,5095,1105,"6,200",6115,10057,8881.87171
RH5,28/2/2023,4085,385,"4,470",3520,10126,8804.71018
RRV,28/2/2023,3015,2890,"5,905",9035,10623,9926.20822
RL4,28/2/2023,7660,560,"8,220",4925,10938,9615.16928
RVV,28/2/2023,6270,865,"7,135",5400,11120,10062.66243
RJE,28/2/2023,9975,1160,"11,135",7260,11372,10091.38589
RAL,28/2/2023,6465,820,"7,285",5520,11480,10757.58864
RDE,28/2/2023,7605,815,"8,420",7460,11560,10069.73091
RGT,28/2/2023,3760,1005,"4,765",6210,11743,10853.60529
RA7,28/2/2023,6515,930,"7,445",5970,12118,10593.35361
RH8,28/2/2023,7275,1050,"8,325",7320,12834,11113.22328
RHM,28/2/2023,6335,1315,"7,650",5100,13053,11757.71169
RYJ,28/2/2023,6680,1480,"8,160",8445,13657,12916.17964
RTH,28/2/2023,8725,1290,"10,015",6305,13661,12353.8359
RTG,28/2/2023,8975,1130,"10,105",9005,13961,12090.62444
RJZ,28/2/2023,6060,1245,"7,305",7695,14063,13165.49555
REM,28/2/2023,6675,1200,"7,875",7075,14227,12893.02483
RAJ,28/2/2023,11070,1365,"12,435",9510,15779,14067.90863
RTD,28/2/2023,7160,1585,"8,745",9925,16244,14210.82701
RYR,28/2/2023,10455,1460,"11,915",8925,16341,14376.48921
RWE,28/2/2023,11420,1515,"12,935",8770,16763,14747.33401
RHQ,28/2/2023,7255,1755,"9,010",10830,17684,15295.9418
R1H,28/2/2023,8580,1465,"10,045",6365,18197,17053.19317
RX1,28/2/2023,9655,1560,"11,215",9185,18271,16316.55414
RR8,28/2/2023,5725,1710,"7,435",5175,19924,17745.09537
RM3,28/2/2023,8100,1155,"9,255",8590,20092,17982.09932
RRK,28/2/2023,14695,1910,"16,605",11545,22655,20063.43216
RJ1,28/2/2023,5080,2985,"8,065",7365,22686,21277.34956
R0A,28/2/2023,6610,2480,"9,090",8665,28528,25871.93851
