Org_Code,Effective_Snapshot_Date,All_specialties:_Non-Elective,All_specialties:_Ordinary_Elective,SUM_Non_Elective_and_Ordinary_Elective,All_specialties:_Daycase_Elective,Total_HC,Total_FTE,AandE_Attends_Type1
RRV,44985,3015,2890,5905,9035,10623,9926.21,11823
RL4,44985,7660,560,8220,4925,10938,9615.17,11612
RVV,44985,6270,865,7135,5400,11120,10062.66,11067
RJE,44985,9975,1160,11135,7260,11372,10091.39,12025
RAL,44985,6465,820,7285,5520,11480,10757.59,19519
RDE,44985,7605,815,8420,7460,11560,10069.73,12636
RGT,44985,3760,1005,4765,6210,11743,10853.61,
RA7,44985,6515,930,7445,5970,12118,10593.35,12729
RH8,44985,7275,1050,8325,7320,12834,11113.22,10841
RHM,44985,6335,1315,7650,5100,13053,11757.71,10089
RYJ,44985,6680,1480,8160,8445,13657,12916.18,
RTH,44985,8725,1290,10015,6305,13661,12353.84,11384
RTG,44985,8975,1130,10105,9005,13961,12090.62,13658
RJZ,44985,6060,1245,7305,7695,14063,13165.5,13799
REM,44985,6675,1200,7875,7075,14227,12893.02,15469
RAJ,44985,11070,1365,12435,9510,15779,14067.91,26836
RTD,44985,7160,1585,8745,9925,16244,14210.83,10905
RYR,44985,10455,1460,11915,8925,16341,14376.49,22037
RWE,44985,11420,1515,12935,8770,16763,14747.33,18360
RHQ,44985,7255,1755,9010,10830,17684,15295.94,8254
R1H,44985,8580,1465,10045,6365,18197,17053.19,21413
RX1,44985,9655,1560,11215,9185,18271,16316.55,
RR8,44985,5725,1710,7435,5175,19924,17745.1,15539
RM3,44985,8100,1155,9255,8590,20092,17982.1,21013
RRK,44985,14695,1910,16605,11545,22655,20063.43,25121
RJ1,44985,5080,2985,8065,7365,22686,21277.35,11484
R0A,44985,6610,2480,9090,8665,28528,25871.94,21588
